axis,sign,idx,adc0,adc1,d_adc,state0,state1,d_um,rep
A,1,0,2816,2821,5,MANUAL,MANUAL,14.368,0
A,1,0,2832,2830,-2,MANUAL,MANUAL,-5.747,1
A,1,0,2831,2827,-4,MANUAL,MANUAL,-11.494,2
A,1,0,2836,2839,3,MANUAL,MANUAL,8.621,3
A,-1,0,2841,2826,-15,MANUAL,AUTO,-43.103,0
A,-1,0,2836,2828,-8,AUTO,AUTO,-22.989,1
A,-1,0,2834,2843,9,AUTO,AUTO,25.862,2
A,-1,0,2837,2852,15,AUTO,AUTO,43.103,3
A,1,1,2844,2850,6,AUTO,AUTO,17.241,0
A,1,1,2845,2848,3,AUTO,AUTO,8.621,1
A,1,1,2850,2833,-17,AUTO,AUTO,-48.851,2
A,1,1,2834,2826,-8,AUTO,AUTO,-22.989,3
A,-1,1,2813,2817,4,AUTO,AUTO,11.494,0
A,-1,1,2815,2824,9,AUTO,AUTO,25.862,1
A,-1,1,2824,2834,10,AUTO,AUTO,28.736,2
A,-1,1,2828,2828,0,AUTO,AUTO,0.0,3
A,1,2,2834,2842,8,AUTO,AUTO,22.989,0
A,1,2,2848,2832,-16,AUTO,AUTO,-45.977,1
A,1,2,2835,2852,17,AUTO,AUTO,48.851,2
A,1,2,2840,2855,15,AUTO,AUTO,43.103,3
A,-1,2,2850,2844,-6,AUTO,AUTO,-17.241,0
A,-1,2,2847,2808,-39,AUTO,AUTO,-112.069,1
A,-1,2,2810,2810,0,AUTO,AUTO,0.0,2
A,-1,2,2824,2816,-8,AUTO,AUTO,-22.989,3
A,1,3,2819,2826,7,AUTO,AUTO,20.115,0
A,1,3,2822,2838,16,AUTO,AUTO,45.977,1
A,1,3,2840,2842,2,AUTO,AUTO,5.747,2
A,1,3,2840,2831,-9,AUTO,AUTO,-25.862,3
A,-1,3,2842,2837,-5,AUTO,AUTO,-14.368,0
A,-1,3,2841,2842,1,AUTO,AUTO,2.874,1
A,-1,3,2838,2840,2,AUTO,AUTO,5.747,2
A,-1,3,2831,2817,-14,AUTO,AUTO,-40.23,3
B,1,0,2985,3004,19,AUTO,AUTO,55.981,0
B,1,0,3005,2997,-8,AUTO,AUTO,-23.571,1
B,1,0,3013,3001,-12,AUTO,AUTO,-35.357,2
B,1,0,3007,3017,10,AUTO,AUTO,29.464,3
B,-1,0,3013,3028,15,AUTO,AUTO,44.196,0
B,-1,0,3013,3023,10,AUTO,AUTO,29.464,1
B,-1,0,3021,3017,-4,AUTO,AUTO,-11.786,2
B,-1,0,3024,3013,-11,AUTO,AUTO,-32.41,3
B,1,1,3021,3008,-13,AUTO,AUTO,-38.303,0
B,1,1,2998,2983,-15,AUTO,AUTO,-44.196,1
B,1,1,2983,3001,18,AUTO,AUTO,53.035,2
B,1,1,2997,3015,18,AUTO,AUTO,53.035,3
B,-1,1,3006,3003,-3,AUTO,AUTO,-8.839,0
B,-1,1,3010,3014,4,AUTO,AUTO,11.786,1
B,-1,1,3029,3021,-8,AUTO,AUTO,-23.571,2
B,-1,1,3013,3031,18,AUTO,AUTO,53.035,3
B,1,2,3019,3030,11,AUTO,AUTO,32.41,0
B,1,2,3014,3010,-4,AUTO,AUTO,-11.786,1
B,1,2,3010,2991,-19,AUTO,AUTO,-55.981,2
B,1,2,2988,2977,-11,AUTO,AUTO,-32.41,3
B,-1,2,2997,2995,-2,AUTO,AUTO,-5.893,0
B,-1,2,2996,3012,16,AUTO,AUTO,47.142,1
B,-1,2,2996,3016,20,AUTO,AUTO,58.928,2
B,-1,2,3011,3017,6,AUTO,AUTO,17.678,3
B,1,3,3023,3008,-15,AUTO,AUTO,-44.196,0
B,1,3,3018,3019,1,AUTO,AUTO,2.946,1
B,1,3,3025,3027,2,AUTO,AUTO,5.893,2
B,1,3,3019,3024,5,AUTO,AUTO,14.732,3
B,-1,3,3020,2995,-25,AUTO,AUTO,-73.659,0
B,-1,3,2993,2999,6,AUTO,AUTO,17.678,1
B,-1,3,3007,2997,-10,AUTO,AUTO,-29.464,2
B,-1,3,3012,2995,-17,AUTO,AUTO,-50.088,3
