axis,sign,idx,adc0,adc1,d_adc,state0,state1,d_um,rep
A,1,0,2961,2968,7,MANUAL,MANUAL,20.115,0
A,1,0,2973,2975,2,MANUAL,MANUAL,5.747,1
A,-1,0,2970,2971,1,MANUAL,MANUAL,2.874,0
A,-1,0,2965,2974,9,MANUAL,MANUAL,25.862,1
A,1,1,290,2968,2678,2893,AUTO,7695.402,0
A,1,1,2977,2963,-14,AUTO,AUTO,-40.23,1
A,-1,1,2960,2969,9,AUTO,AUTO,25.862,0
A,-1,1,2967,2972,5,AUTO,AUTO,14.368,1
A,1,2,2968,2968,0,AUTO,AUTO,0.0,0
A,1,2,2972,2963,-9,AUTO,AUTO,-25.862,1
A,-1,2,2974,2965,-9,AUTO,AUTO,-25.862,0
A,-1,2,2966,2973,7,AUTO,AUTO,20.115,1
A,1,3,2962,2978,16,AUTO,AUTO,45.977,0
A,1,3,2968,2972,4,AUTO,AUTO,11.494,1
A,-1,3,2964,2979,15,AUTO,AUTO,43.103,0
A,-1,3,2979,2969,-10,AUTO,AUTO,-28.736,1
B,1,0,2894,2878,-16,AUTO,AUTO,-47.142,0
B,1,0,2881,2879,-2,AUTO,AUTO,-5.893,1
B,-1,0,2882,2889,7,AUTO,AUTO,20.625,0
B,-1,0,2886,2896,10,AUTO,AUTO,29.464,1
B,1,1,2892,2894,2,AUTO,AUTO,5.893,0
B,1,1,2896,2879,-17,AUTO,AUTO,-50.088,1
B,-1,1,2890,2886,-4,AUTO,AUTO,-11.786,0
B,-1,1,2894,2874,-20,AUTO,AUTO,-58.928,1
B,1,2,2867,2889,22,AUTO,AUTO,64.82,0
B,1,2,2884,2900,16,AUTO,AUTO,47.142,1
B,-1,2,2894,2893,-1,AUTO,AUTO,-2.946,0
B,-1,2,2890,2877,-13,AUTO,AUTO,-38.303,1
B,1,3,2888,2872,-16,AUTO,AUTO,-47.142,0
B,1,3,2877,2871,-6,AUTO,AUTO,-17.678,1
B,-1,3,2875,2879,4,AUTO,AUTO,11.786,0
B,-1,3,2872,2886,14,AUTO,AUTO,41.249,1
