axis,sign,idx,adc0,adc1,d_adc,state0,state1,d_um,rep
A,1,0,2836,2831,-5,AUTO,AUTO,-14.368,0
A,1,0,2832,2840,8,AUTO,AUTO,22.989,1
A,-1,0,2845,2857,12,AUTO,AUTO,34.483,0
A,-1,0,2846,2838,-8,AUTO,AUTO,-22.989,1
A,1,1,2840,2845,5,AUTO,AUTO,14.368,0
A,1,1,2820,2833,13,AUTO,AUTO,37.356,1
A,-1,1,2832,2836,4,AUTO,AUTO,11.494,0
A,-1,1,2841,2833,-8,AUTO,AUTO,-22.989,1
A,1,2,2854,2853,-1,AUTO,AUTO,-2.874,0
A,1,2,2852,2859,7,AUTO,AUTO,20.115,1
A,-1,2,2850,2859,9,AUTO,AUTO,25.862,0
A,-1,2,2856,2860,4,AUTO,AUTO,11.494,1
A,1,3,2862,2852,-10,AUTO,AUTO,-28.736,0
A,1,3,2856,2813,-43,AUTO,AUTO,-123.563,1
A,-1,3,2816,2833,17,AUTO,AUTO,48.851,0
A,-1,3,2835,2842,7,AUTO,AUTO,20.115,1
A,1,4,2839,2838,-1,AUTO,AUTO,-2.874,0
A,1,4,2839,2848,9,AUTO,AUTO,25.862,1
A,-1,4,2854,2846,-8,AUTO,AUTO,-22.989,0
A,-1,4,2851,2839,-12,AUTO,AUTO,-34.483,1
A,1,5,2843,2854,11,AUTO,AUTO,31.609,0
A,1,5,2844,2855,11,AUTO,AUTO,31.609,1
A,-1,5,2849,2861,12,AUTO,AUTO,34.483,0
A,-1,5,2847,2816,-31,AUTO,AUTO,-89.08,1
A,1,6,2838,2839,1,AUTO,AUTO,2.874,0
A,1,6,2837,2846,9,AUTO,AUTO,25.862,1
A,-1,6,2840,2841,1,AUTO,AUTO,2.874,0
A,-1,6,2842,2860,18,AUTO,AUTO,51.724,1
A,1,7,2860,2864,4,AUTO,AUTO,11.494,0
A,1,7,2857,2852,-5,AUTO,AUTO,-14.368,1
A,-1,7,2862,2852,-10,AUTO,AUTO,-28.736,0
A,-1,7,2856,2857,1,AUTO,AUTO,2.874,1
B,1,0,3025,3028,3,AUTO,AUTO,8.839,0
B,1,0,2995,3015,20,AUTO,AUTO,58.928,1
B,-1,0,3016,3013,-3,AUTO,AUTO,-8.839,0
B,-1,0,3022,3014,-8,AUTO,AUTO,-23.571,1
B,1,1,3018,3018,0,AUTO,AUTO,0.0,0
B,1,1,3025,3039,14,AUTO,AUTO,41.249,1
B,-1,1,3023,3030,7,AUTO,AUTO,20.625,0
B,-1,1,3025,3043,18,AUTO,AUTO,53.035,1
B,1,2,3044,3032,-12,AUTO,AUTO,-35.357,0
B,1,2,3040,3023,-17,AUTO,AUTO,-50.088,1
B,-1,2,3037,2988,-49,AUTO,AUTO,-144.372,0
B,-1,2,2988,3016,28,AUTO,AUTO,82.499,1
B,1,3,3005,3020,15,AUTO,AUTO,44.196,0
B,1,3,3017,3013,-4,AUTO,AUTO,-11.786,1
B,-1,3,3014,3018,4,AUTO,AUTO,11.786,0
B,-1,3,3034,3019,-15,AUTO,AUTO,-44.196,1
B,1,4,3022,3025,3,AUTO,AUTO,8.839,0
B,1,4,3021,3035,14,AUTO,AUTO,41.249,1
B,-1,4,3023,3035,12,AUTO,AUTO,35.357,0
B,-1,4,3024,3021,-3,AUTO,AUTO,-8.839,1
B,1,5,3020,2986,-34,AUTO,AUTO,-100.177,0
B,1,5,3012,3011,-1,AUTO,AUTO,-2.946,1
B,-1,5,3009,3019,10,AUTO,AUTO,29.464,0
B,-1,5,3010,3020,10,AUTO,AUTO,29.464,1
B,1,6,3025,3041,16,AUTO,AUTO,47.142,0
B,1,6,3039,3029,-10,AUTO,AUTO,-29.464,1
B,-1,6,3040,3023,-17,AUTO,AUTO,-50.088,0
B,-1,6,3033,3032,-1,AUTO,AUTO,-2.946,1
B,1,7,3029,3040,11,AUTO,AUTO,32.41,0
B,1,7,3027,3037,10,AUTO,AUTO,29.464,1
B,-1,7,3013,3001,-12,AUTO,AUTO,-35.357,0
B,-1,7,3016,3005,-11,AUTO,AUTO,-32.41,1
